observation_date,HOUST_PCA
1989-10-01,-2.55076
1990-01-01,29.15562
1990-04-01,-47.71029
1990-07-01,-23.98531
1990-10-01,-28.02258
1991-01-01,-45.79204
1991-04-01,63.06456
1991-07-01,12.98528
1991-10-01,18.27465
1992-01-01,69.89044
1992-04-01,-25.57346
1992-07-01,11.19947
1992-10-01,15.97043
1993-01-01,-18.33977
1993-04-01,38.18449
1993-07-01,10.84134
1993-10-01,48.37343
1994-01-01,-11.38326
1994-04-01,23.59963
1994-07-01,-3.32145
1994-10-01,4.94830
1995-01-01,-34.54833
1995-04-01,-10.62581
1995-07-01,46.10695
1995-10-01,0.56644
1996-01-01,12.80191
1996-04-01,9.93470
1996-07-01,1.52412
1996-10-01,-20.64562
1997-01-01,4.49637
1997-04-01,12.65872
1997-07-01,-4.87658
1997-10-01,22.01189
1998-01-01,7.14649
1998-04-01,3.55367
1998-07-01,15.87570
1998-10-01,24.25045
1999-01-01,-2.98515
1999-04-01,-28.04190
1999-07-01,20.85114
1999-10-01,0.97283
2000-01-01,1.05166
2000-04-01,-16.33241
2000-07-01,-19.33902
2000-10-01,11.16879
2001-01-01,16.76454
2001-04-01,6.37762
2001-07-01,-7.23854
2001-10-01,-7.21439
2002-01-01,45.05827
2002-04-01,-7.22450
2002-07-01,1.50656
2002-10-01,7.84030
2003-01-01,1.47270
2003-04-01,4.13322
2003-07-01,34.81947
2003-10-01,34.67465
2004-01-01,-21.13766
2004-04-01,4.02102
2004-07-01,8.44494
2004-10-01,-2.33967
2005-01-01,23.46238
2005-04-01,-3.86856
2005-07-01,9.83284
2005-10-01,-5.83600
2006-01-01,10.37088
2006-04-01,-41.41869
2006-07-01,-29.07444
2006-10-01,-27.65305
2007-01-01,-24.94173
2007-04-01,-2.79861
2007-07-01,-37.72094
2007-10-01,-33.04507
2008-01-01,-30.66184
2008-04-01,-18.59234
2008-07-01,-47.00085
2008-10-01,-65.05754
2009-01-01,-60.48267
2009-04-01,6.75969
2009-07-01,46.97543
2009-10-01,-13.32781
2010-01-01,40.46895
2010-04-01,-9.96071
2010-07-01,-14.03388
2010-10-01,-23.37828
2011-01-01,32.92951
2011-04-01,-5.38293
2011-07-01,35.22025
2011-10-01,38.33031
2012-01-01,22.99326
2012-04-01,19.36160
2012-07-01,24.09649
2012-10-01,83.32545
2013-01-01,21.51663
2013-04-01,-31.27737
2013-07-01,6.77064
2013-10-01,71.01489
2014-01-01,-26.57857
2014-04-01,24.70421
2014-07-01,18.90615
2014-10-01,7.44370
2015-01-01,-24.85080
2015-04-01,97.35857
2015-07-01,3.02744
2015-10-01,-13.43595
2016-01-01,6.30495
2016-04-01,10.41899
2016-07-01,-4.03535
2016-10-01,28.77588
2017-01-01,-5.70374
2017-04-01,-10.41310
2017-07-01,-0.67397
2017-10-01,19.43605
2018-01-01,21.75686
2018-04-01,-6.90165
2018-07-01,-8.00900
2018-10-01,-24.05286
2019-01-01,4.77286
2019-04-01,34.20121
2019-07-01,12.98308
2019-10-01,34.25077
2020-01-01,17.08810
2020-04-01,-70.45491
2020-07-01,238.15779
2020-10-01,30.78439
