observation_date,INDPRO_PC1
1989-10-01,-0.14565
1990-01-01,0.13001
1990-04-01,1.20008
1990-07-01,2.22277
1990-10-01,0.25080
1991-01-01,-2.39237
1991-04-01,-2.54641
1991-07-01,-1.56307
1991-10-01,0.18814
1992-01-01,1.99084
1992-04-01,3.28869
1992-07-01,2.67633
1992-10-01,3.51213
1993-01-01,4.61760
1993-04-01,2.96446
1993-07-01,2.54625
1993-10-01,3.09145
1994-01-01,3.39856
1994-04-01,5.08498
1994-07-01,6.02997
1994-10-01,6.54407
1995-01-01,6.37596
1995-04-01,4.81512
1995-07-01,4.49563
1995-10-01,3.24086
1996-01-01,2.85109
1996-04-01,4.72362
1996-07-01,5.07835
1996-10-01,5.73108
1997-01-01,7.02625
1997-04-01,6.29208
1997-07-01,7.35269
1997-10-01,8.48152
1998-01-01,7.62642
1998-04-01,6.77321
1998-07-01,5.15712
1998-10-01,4.04769
1999-01-01,4.13811
1999-04-01,4.47067
1999-07-01,4.55612
1999-10-01,4.80084
2000-01-01,4.46019
2000-04-01,4.61750
2000-07-01,3.60331
2000-10-01,1.63098
2001-01-01,-0.43218
2001-04-01,-2.73189
2001-07-01,-3.98242
2001-10-01,-4.75340
2002-01-01,-2.95551
2002-04-01,-0.27632
2002-07-01,1.74165
2002-10-01,2.83388
2003-01-01,2.80639
2003-04-01,0.54659
2003-07-01,0.60238
2003-10-01,1.54876
2004-01-01,1.55642
2004-04-01,2.81540
2004-07-01,2.70348
2004-10-01,3.16995
2005-01-01,3.94219
2005-04-01,3.99653
2005-07-01,2.99428
2005-10-01,2.52032
2006-01-01,2.07759
2006-04-01,2.09235
2006-07-01,2.93740
2006-10-01,2.22460
2007-01-01,2.25857
2007-04-01,2.86700
2007-07-01,2.60829
2007-10-01,2.67495
2008-01-01,1.34552
2008-04-01,-1.30226
2008-07-01,-4.59493
2008-10-01,-8.97061
2009-01-01,-13.86300
2009-04-01,-15.08490
2009-07-01,-10.91480
2009-10-01,-5.37069
2010-01-01,2.30177
2010-04-01,7.29945
2010-07-01,7.01620
2010-10-01,5.71747
2011-01-01,4.21706
2011-04-01,2.70393
2011-07-01,2.56522
2011-10-01,3.19643
2012-01-01,3.65015
2012-04-01,3.87752
2012-07-01,2.66489
2012-10-01,2.09840
2013-01-01,1.85796
2013-04-01,1.67951
2013-07-01,2.11541
2013-10-01,2.31487
2014-01-01,2.24436
2014-04-01,3.16827
2014-07-01,3.31198
2014-10-01,3.18299
2015-01-01,1.33495
2015-04-01,-1.40555
2015-07-01,-1.87240
2015-10-01,-3.75351
2016-01-01,-3.28993
2016-04-01,-2.26259
2016-07-01,-2.11848
2016-10-01,-0.90597
2017-01-01,-0.26115
2017-04-01,1.54303
2017-07-01,1.01141
2017-10-01,2.57450
2018-01-01,3.11958
2018-04-01,2.80290
2018-07-01,3.97303
2018-10-01,2.76268
2019-01-01,1.22380
2019-04-01,-0.59230
2019-07-01,-1.48515
2019-10-01,-2.26870
2020-01-01,-3.00853
2020-04-01,-14.64907
2020-07-01,-6.49265
2020-10-01,-4.22257
