observation_date,UNRATE_CH1
1989-10-01,0.0
1990-01-01,0.1
1990-04-01,0.1
1990-07-01,0.5
1990-10-01,0.8
1991-01-01,1.3
1991-04-01,1.5
1991-07-01,1.2
1991-10-01,1.0
1992-01-01,0.8
1992-04-01,0.8
1992-07-01,0.8
1992-10-01,0.3
1993-01-01,-0.2
1993-04-01,-0.5
1993-07-01,-0.8
1993-10-01,-0.7
1994-01-01,-0.6
1994-04-01,-0.9
1994-07-01,-0.8
1994-10-01,-1.0
1995-01-01,-1.1
1995-04-01,-0.5
1995-07-01,-0.3
1995-10-01,-0.1
1996-01-01,0.1
1996-04-01,-0.2
1996-07-01,-0.4
1996-10-01,-0.2
1997-01-01,-0.3
1997-04-01,-0.5
1997-07-01,-0.4
1997-10-01,-0.7
1998-01-01,-0.6
1998-04-01,-0.6
1998-07-01,-0.3
1998-10-01,-0.2
1999-01-01,-0.3
1999-04-01,-0.1
1999-07-01,-0.3
1999-10-01,-0.4
2000-01-01,-0.3
2000-04-01,-0.3
2000-07-01,-0.2
2000-10-01,-0.2
2001-01-01,0.2
2001-04-01,0.5
2001-07-01,0.8
2001-10-01,1.6
2002-01-01,1.5
2002-04-01,1.4
2002-07-01,0.9
2002-10-01,0.4
2003-01-01,0.2
2003-04-01,0.3
2003-07-01,0.4
2003-10-01,0.0
2004-01-01,-0.2
2004-04-01,-0.5
2004-07-01,-0.7
2004-10-01,-0.4
2005-01-01,-0.4
2005-04-01,-0.5
2005-07-01,-0.5
2005-10-01,-0.5
2006-01-01,-0.6
2006-04-01,-0.5
2006-07-01,-0.3
2006-10-01,-0.5
2007-01-01,-0.2
2007-04-01,-0.1
2007-07-01,0.0
2007-10-01,0.4
2008-01-01,0.5
2008-04-01,0.8
2008-07-01,1.3
2008-10-01,2.1
2009-01-01,3.3
2009-04-01,4.0
2009-07-01,3.6
2009-10-01,3.1
2010-01-01,1.6
2010-04-01,0.3
2010-07-01,-0.2
2010-10-01,-0.4
2011-01-01,-0.8
2011-04-01,-0.6
2011-07-01,-0.5
2011-10-01,-0.9
2012-01-01,-0.8
2012-04-01,-0.9
2012-07-01,-1.0
2012-10-01,-0.8
2013-01-01,-0.5
2013-04-01,-0.7
2013-07-01,-0.8
2013-10-01,-0.9
2014-01-01,-1.1
2014-04-01,-1.3
2014-07-01,-1.2
2014-10-01,-1.2
2015-01-01,-1.1
2015-04-01,-0.8
2015-07-01,-1.0
2015-10-01,-0.7
2016-01-01,-0.6
2016-04-01,-0.5
2016-07-01,-0.2
2016-10-01,-0.3
2017-01-01,-0.3
2017-04-01,-0.6
2017-07-01,-0.6
2017-10-01,-0.6
2018-01-01,-0.5
2018-04-01,-0.4
2018-07-01,-0.6
2018-10-01,-0.3
2019-01-01,-0.2
2019-04-01,-0.3
2019-07-01,-0.2
2019-10-01,-0.2
2020-01-01,0.0
2020-04-01,9.4
2020-07-01,5.2
2020-10-01,3.2
