observation_date,UNRATE_PCA
1989-10-01,10.58721
1990-01-01,-4.87712
1990-04-01,2.53956
1990-07-01,30.46815
1990-10-01,34.05618
1991-01-01,34.08786
1991-04-01,14.90917
1991-07-01,1.96554
1991-10-01,14.30087
1992-01-01,15.89126
1992-04-01,13.28445
1992-07-01,1.76596
1992-10-01,-13.25845
1993-01-01,-12.08034
1993-04-01,-3.68624
1993-07-01,-14.26123
1993-10-01,-9.44934
1994-01-01,-3.95990
1994-04-01,-20.53299
1994-07-01,-12.29219
1994-10-01,-22.29360
1995-01-01,-11.31941
1995-04-01,15.45701
1995-07-01,0.00000
1995-10-01,-6.87416
1996-01-01,-2.37378
1996-04-01,-2.38795
1996-07-01,-15.92003
1996-10-01,5.16024
1997-01-01,-7.29169
1997-04-01,-16.67671
1997-07-01,-10.24753
1997-10-01,-15.45251
1998-01-01,-2.82668
1998-04-01,-18.67267
1998-07-01,12.68339
1998-10-01,-8.53584
1999-01-01,-11.49816
1999-04-01,-3.06491
1999-07-01,-3.08857
1999-10-01,-14.84220
2000-01-01,-3.23860
2000-04-01,-9.55459
2000-07-01,6.95398
2000-10-01,-9.63121
2001-01-01,38.82620
2001-04-01,16.70268
2001-07-01,45.60500
2001-10-01,67.67324
2002-01-01,15.35825
2002-04-01,9.69018
2002-07-01,-6.68282
2002-10-01,9.63189
2003-01-01,0.00000
2003-04-01,19.45948
2003-07-01,0.00000
2003-10-01,-18.17596
2004-01-01,-8.83414
2004-04-01,-6.83502
2004-07-01,-11.38377
2004-10-01,0.00000
2005-01-01,-9.46050
2005-04-01,-14.26123
2005-07-01,-10.05452
2005-10-01,0.00000
2006-01-01,-17.50867
2006-04-01,-8.18665
2006-07-01,0.00000
2006-10-01,-16.18006
2007-01-01,6.15208
2007-04-01,0.00000
2007-07-01,15.65837
2007-10-01,11.92776
2008-01-01,17.73757
2008-04-01,29.45383
2008-07-01,60.18066
2008-10-01,71.54531
2009-01-01,110.05733
2009-04-01,60.18066
2009-07-01,15.12630
2009-10-01,13.05081
2010-01-01,-3.96644
2010-04-01,-7.89074
2010-07-01,-6.74288
2010-10-01,1.41591
2011-01-01,-18.24812
2011-04-01,1.48420
2011-07-01,-2.90890
2011-10-01,-15.32718
2012-01-01,-15.93646
2012-04-01,-3.18699
2012-07-01,-7.88555
2012-10-01,-11.12180
2013-01-01,-3.37522
2013-04-01,-9.95039
2013-07-01,-15.00269
2013-10-01,-15.58601
2014-01-01,-14.51958
2014-04-01,-25.19480
2014-07-01,-8.32862
2014-10-01,-22.07104
2015-01-01,-11.19285
2015-04-01,-7.03530
2015-07-01,-22.37255
2015-10-01,-5.12712
2016-01-01,-10.18238
2016-04-01,2.74898
2016-07-01,-2.67543
2016-10-01,-10.44810
2017-01-01,-15.75617
2017-04-01,-16.40065
2017-07-01,-3.01865
2017-10-01,-14.51958
2018-01-01,-12.19860
2018-04-01,-9.55459
2018-07-01,-15.90199
2018-10-01,7.26983
2019-01-01,3.52389
2019-04-01,-22.03960
2019-07-01,-3.61953
2019-10-01,0.00000
2020-01-01,28.55718
2020-04-01,13127.17400
2020-07-01,-79.00300
2020-10-01,-65.04024
