observation_date,INDPRO_PCA
1989-10-01,1.56377
1990-01-01,3.00162
1990-04-01,2.77498
1990-07-01,1.55944
1990-10-01,-6.04937
1991-01-01,-7.43907
1991-04-01,2.12773
1991-07-01,5.72095
1991-10-01,0.81680
1992-01-01,-0.59526
1992-04-01,7.42617
1992-07-01,3.23601
1992-10-01,4.13977
1993-01-01,3.71968
1993-04-01,0.79533
1993-07-01,1.56894
1993-10-01,6.37220
1994-01-01,4.96112
1994-04-01,7.53381
1994-07-01,5.27199
1994-10-01,8.45029
1995-01-01,4.30025
1995-04-01,1.36006
1995-07-01,3.99431
1995-10-01,3.33435
1996-01-01,2.73407
1996-04-01,8.94562
1996-07-01,5.41055
1996-10-01,5.92596
1997-01-01,7.86112
1997-04-01,5.98691
1997-07-01,9.68121
1997-10-01,10.45202
1998-01-01,4.50027
1998-04-01,2.66582
1998-07-01,3.19006
1998-10-01,5.86407
1999-01-01,4.86399
1999-04-01,3.98357
1999-07-01,3.52810
1999-10-01,6.85867
2000-01-01,3.50721
2000-04-01,4.61133
2000-07-01,-0.42840
2000-10-01,-1.04911
2001-01-01,-4.64529
2001-04-01,-4.72377
2001-07-01,-5.45106
2001-10-01,-4.18920
2002-01-01,2.76088
2002-04-01,6.24149
2002-07-01,2.43744
2002-10-01,-0.00824
2003-01-01,2.65103
2003-04-01,-2.79621
2003-07-01,2.66496
2003-10-01,3.80776
2004-01-01,2.68201
2004-04-01,2.11424
2004-07-01,2.21863
2004-10-01,5.70660
2005-01-01,5.79104
2005-04-01,2.32796
2005-07-01,-1.66525
2005-10-01,3.77425
2006-01-01,3.97542
2006-04-01,2.38713
2006-07-01,1.63120
2006-10-01,0.92959
2007-01-01,4.11369
2007-04-01,4.84575
2007-07-01,0.61264
2007-10-01,1.19213
2008-01-01,-1.17472
2008-04-01,-5.68919
2008-07-01,-12.15650
2008-10-01,-16.13373
2009-01-01,-20.76800
2009-04-01,-10.92779
2009-07-01,6.41236
2009-10-01,6.77453
2010-01-01,8.22575
2010-04-01,7.79523
2010-07-01,5.29320
2010-10-01,1.68493
2011-01-01,2.21127
2011-04-01,1.66995
2011-07-01,4.72550
2011-10-01,4.21129
2012-01-01,4.02074
2012-04-01,2.56498
2012-07-01,-0.07963
2012-10-01,1.93015
2013-01-01,3.04435
2013-04-01,1.84812
2013-07-01,1.64482
2013-10-01,2.72889
2014-01-01,2.76059
2014-04-01,5.57962
2014-07-01,2.21237
2014-10-01,2.21680
2015-01-01,-4.40589
2015-04-01,-5.38652
2015-07-01,0.29015
2015-10-01,-5.39868
2016-01-01,-2.55080
2016-04-01,-1.30172
2016-07-01,0.88294
2016-10-01,-0.62336
2017-01-01,0.01054
2017-04-01,6.03584
2017-07-01,-1.21317
2017-10-01,5.67204
2018-01-01,2.15337
2018-04-01,4.73929
2018-07-01,3.36190
2018-10-01,0.83678
2019-01-01,-3.82960
2019-04-01,-2.57749
2019-07-01,-0.30184
2019-10-01,-2.33325
2020-01-01,-6.70872
2020-04-01,-41.58046
2020-07-01,43.62731
2020-10-01,7.50200
